10
5
10
12
10
67	67	67	67	67	
4.55	4.24	4.04	3.72	3.45	2.59	2.01	1.95	1.36	1.14	
20	20	20	20	20	
2	2	2	2	2	
1.6	1.6	1.6	1.6	1.6	
11	11	11	11	11	
56	96	113	104	117	
102	139	65	125	138	
136	85	67	126	117	
59	58	101	146	90	
73	115	85	98	120	
85	114	147	116	112	
77	104	52	108	57	
134	81	64	128	130	
127	112	143	53	85	
98	148	135	75	105	
2
2.275	2.275	2.275	2.275	2.275	
2.12	2.12	2.12	2.12	2.12	
2.02	2.02	2.02	2.02	2.02	
1.86	1.86	1.86	1.86	1.86	
1.725	1.725	1.725	1.725	1.725	
1.295	1.295	1.295	1.295	1.295	
1.005	1.005	1.005	1.005	1.005	
0.975	0.975	0.975	0.975	0.975	
0.68	0.68	0.68	0.68	0.68	
0.57	0.57	0.57	0.57	0.57	
1.1375	1.1375	1.1375	1.1375	1.1375	
1.06	1.06	1.06	1.06	1.06	
1.01	1.01	1.01	1.01	1.01	
0.93	0.93	0.93	0.93	0.93	
0.8625	0.8625	0.8625	0.8625	0.8625	
0.6475	0.6475	0.6475	0.6475	0.6475	
0.5025	0.5025	0.5025	0.5025	0.5025	
0.4875	0.4875	0.4875	0.4875	0.4875	
0.34	0.34	0.34	0.34	0.34	
0.285	0.285	0.285	0.285	0.285	
