10
5
10
12
10
45	45	45	45	45	
2.78	2.69	2.69	2.54	2.37	2.37	1.68	1.43	1.43	0.68	
20	20	20	20	20	
2	2	2	2	2	
1.6	1.6	1.6	1.6	1.6	
11	11	11	11	11	
104	52	75	126	125	
132	89	140	94	81	
89	104	52	111	114	
68	50	126	53	105	
72	78	54	147	90	
110	58	65	137	85	
139	71	52	61	80	
87	51	96	122	60	
109	72	128	102	136	
88	53	70	145	92	
2
1.39	1.39	1.39	1.39	1.39	
1.345	1.345	1.345	1.345	1.345	
1.345	1.345	1.345	1.345	1.345	
1.27	1.27	1.27	1.27	1.27	
1.185	1.185	1.185	1.185	1.185	
1.185	1.185	1.185	1.185	1.185	
0.84	0.84	0.84	0.84	0.84	
0.715	0.715	0.715	0.715	0.715	
0.715	0.715	0.715	0.715	0.715	
0.34	0.34	0.34	0.34	0.34	
0.695	0.695	0.695	0.695	0.695	
0.6725	0.6725	0.6725	0.6725	0.6725	
0.6725	0.6725	0.6725	0.6725	0.6725	
0.635	0.635	0.635	0.635	0.635	
0.5925	0.5925	0.5925	0.5925	0.5925	
0.5925	0.5925	0.5925	0.5925	0.5925	
0.42	0.42	0.42	0.42	0.42	
0.3575	0.3575	0.3575	0.3575	0.3575	
0.3575	0.3575	0.3575	0.3575	0.3575	
0.17	0.17	0.17	0.17	0.17	
