10
10
10
12
10
47	47	47	47	47	47	47	47	47	47	
2.78	2.7	2.69	2.24	2.14	2.13	1.29	1.2	1.03	1.01	
20	20	20	20	20	20	20	20	20	20	
2	2	2	2	2	2	2	2	2	2	
1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	
11	11	11	11	11	11	11	11	11	11	
104	54	143	112	86	55	59	65	83	76	
63	123	146	68	100	84	103	114	71	111	
122	83	122	100	90	53	102	122	144	105	
125	136	124	68	146	102	136	72	98	70	
101	62	101	131	59	69	90	69	65	73	
59	77	83	68	137	122	129	73	146	63	
73	108	128	67	141	90	133	139	111	117	
119	95	116	74	74	76	106	120	127	83	
138	140	100	98	82	59	69	99	79	95	
53	97	133	114	146	63	89	139	77	130	
2
1.39	1.39	1.39	1.39	1.39	1.39	1.39	1.39	1.39	1.39	
1.35	1.35	1.35	1.35	1.35	1.35	1.35	1.35	1.35	1.35	
1.345	1.345	1.345	1.345	1.345	1.345	1.345	1.345	1.345	1.345	
1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	1.12	
1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	
1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	
0.645	0.645	0.645	0.645	0.645	0.645	0.645	0.645	0.645	0.645	
0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	
0.515	0.515	0.515	0.515	0.515	0.515	0.515	0.515	0.515	0.515	
0.505	0.505	0.505	0.505	0.505	0.505	0.505	0.505	0.505	0.505	
0.695	0.695	0.695	0.695	0.695	0.695	0.695	0.695	0.695	0.695	
0.675	0.675	0.675	0.675	0.675	0.675	0.675	0.675	0.675	0.675	
0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	0.6725	
0.56	0.56	0.56	0.56	0.56	0.56	0.56	0.56	0.56	0.56	
0.535	0.535	0.535	0.535	0.535	0.535	0.535	0.535	0.535	0.535	
0.5325	0.5325	0.5325	0.5325	0.5325	0.5325	0.5325	0.5325	0.5325	0.5325	
0.3225	0.3225	0.3225	0.3225	0.3225	0.3225	0.3225	0.3225	0.3225	0.3225	
0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	
0.2575	0.2575	0.2575	0.2575	0.2575	0.2575	0.2575	0.2575	0.2575	0.2575	
0.2525	0.2525	0.2525	0.2525	0.2525	0.2525	0.2525	0.2525	0.2525	0.2525	
