5
5
10
12
10
27	27	27	27	27	
4.39	4.17	2.83	2.43	0.84	
20	20	20	20	20	
2	2	2	2	2	
1.6	1.6	1.6	1.6	1.6	
11	11	11	11	11	
140	119	91	100	62	
70	115	130	90	92	
81	148	86	138	72	
72	99	121	104	136	
125	125	66	53	95	
1.5
2.195	2.195	2.195	2.195	2.195	
2.085	2.085	2.085	2.085	2.085	
1.415	1.415	1.415	1.415	1.415	
1.215	1.215	1.215	1.215	1.215	
0.42	0.42	0.42	0.42	0.42	
1.0975	1.0975	1.0975	1.0975	1.0975	
1.0425	1.0425	1.0425	1.0425	1.0425	
0.7075	0.7075	0.7075	0.7075	0.7075	
0.6075	0.6075	0.6075	0.6075	0.6075	
0.21	0.21	0.21	0.21	0.21	
