10
5
10
12
10
44	44	44	44	44	
2.62	2.51	2.45	2.34	2.06	1.82	1.35	0.96	0.81	0.69	
20	20	20	20	20	
2	2	2	2	2	
1.6	1.6	1.6	1.6	1.6	
11	11	11	11	11	
130	102	84	131	88	
144	128	50	70	129	
139	81	134	121	128	
135	111	120	64	111	
110	124	101	57	114	
86	127	138	139	53	
91	70	111	143	76	
148	84	64	104	110	
100	116	138	65	125	
96	89	111	63	65	
2
1.31	1.31	1.31	1.31	1.31	
1.255	1.255	1.255	1.255	1.255	
1.225	1.225	1.225	1.225	1.225	
1.17	1.17	1.17	1.17	1.17	
1.03	1.03	1.03	1.03	1.03	
0.91	0.91	0.91	0.91	0.91	
0.675	0.675	0.675	0.675	0.675	
0.48	0.48	0.48	0.48	0.48	
0.405	0.405	0.405	0.405	0.405	
0.345	0.345	0.345	0.345	0.345	
0.655	0.655	0.655	0.655	0.655	
0.6275	0.6275	0.6275	0.6275	0.6275	
0.6125	0.6125	0.6125	0.6125	0.6125	
0.585	0.585	0.585	0.585	0.585	
0.515	0.515	0.515	0.515	0.515	
0.455	0.455	0.455	0.455	0.455	
0.3375	0.3375	0.3375	0.3375	0.3375	
0.24	0.24	0.24	0.24	0.24	
0.2025	0.2025	0.2025	0.2025	0.2025	
0.1725	0.1725	0.1725	0.1725	0.1725	
