5
10
10
12
10
27	27	27	27	27	27	27	27	27	27	
3.74	3.42	3.27	3.22	0.77	
20	20	20	20	20	20	20	20	20	20	
2	2	2	2	2	2	2	2	2	2	
1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	
11	11	11	11	11	11	11	11	11	11	
121	140	74	123	139	148	122	62	109	146	
109	109	58	91	138	85	117	70	124	59	
75	114	55	60	91	119	108	97	79	136	
127	103	147	75	92	113	74	93	96	149	
127	116	68	111	64	82	142	87	113	112	
1.5
1.87	1.87	1.87	1.87	1.87	1.87	1.87	1.87	1.87	1.87	
1.71	1.71	1.71	1.71	1.71	1.71	1.71	1.71	1.71	1.71	
1.635	1.635	1.635	1.635	1.635	1.635	1.635	1.635	1.635	1.635	
1.61	1.61	1.61	1.61	1.61	1.61	1.61	1.61	1.61	1.61	
0.385	0.385	0.385	0.385	0.385	0.385	0.385	0.385	0.385	0.385	
0.935	0.935	0.935	0.935	0.935	0.935	0.935	0.935	0.935	0.935	
0.855	0.855	0.855	0.855	0.855	0.855	0.855	0.855	0.855	0.855	
0.8175	0.8175	0.8175	0.8175	0.8175	0.8175	0.8175	0.8175	0.8175	0.8175	
0.805	0.805	0.805	0.805	0.805	0.805	0.805	0.805	0.805	0.805	
0.1925	0.1925	0.1925	0.1925	0.1925	0.1925	0.1925	0.1925	0.1925	0.1925	
