5
10
10
12
10
16	16	16	16	16	16	16	16	16	16	
2.6	2.19	1.36	1.23	0.7	
20	20	20	20	20	20	20	20	20	20	
2	2	2	2	2	2	2	2	2	2	
1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	
11	11	11	11	11	11	11	11	11	11	
67	131	63	112	114	122	59	101	69	85	
51	98	111	69	129	87	112	136	119	139	
84	134	142	146	80	56	118	81	138	62	
127	148	106	97	132	94	140	51	131	68	
108	118	136	86	144	55	145	83	125	84	
1.5
1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	
1.095	1.095	1.095	1.095	1.095	1.095	1.095	1.095	1.095	1.095	
0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	
0.615	0.615	0.615	0.615	0.615	0.615	0.615	0.615	0.615	0.615	
0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	
0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	
0.5475	0.5475	0.5475	0.5475	0.5475	0.5475	0.5475	0.5475	0.5475	0.5475	
0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	
0.3075	0.3075	0.3075	0.3075	0.3075	0.3075	0.3075	0.3075	0.3075	0.3075	
0.175	0.175	0.175	0.175	0.175	0.175	0.175	0.175	0.175	0.175	
