10
10
10
12
10
47	47	47	47	47	47	47	47	47	47	
4.97	4.11	3.67	3.31	3.17	3.05	2.55	2.03	0.99	0.73	
20	20	20	20	20	20	20	20	20	20	
2	2	2	2	2	2	2	2	2	2	
1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	
11	11	11	11	11	11	11	11	11	11	
147	94	50	126	118	120	86	108	82	61	
108	106	138	51	98	108	109	54	76	105	
140	129	106	113	116	98	59	139	73	65	
93	68	123	143	130	132	124	148	118	128	
66	55	70	73	122	80	69	112	141	114	
113	59	98	70	116	138	81	72	83	138	
59	117	147	82	77	65	98	115	65	61	
84	58	94	103	63	55	131	69	116	140	
119	112	131	113	100	102	128	71	122	65	
91	60	93	89	100	106	137	136	88	104	
1.5
2.485	2.485	2.485	2.485	2.485	2.485	2.485	2.485	2.485	2.485	
2.055	2.055	2.055	2.055	2.055	2.055	2.055	2.055	2.055	2.055	
1.835	1.835	1.835	1.835	1.835	1.835	1.835	1.835	1.835	1.835	
1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	1.655	
1.585	1.585	1.585	1.585	1.585	1.585	1.585	1.585	1.585	1.585	
1.525	1.525	1.525	1.525	1.525	1.525	1.525	1.525	1.525	1.525	
1.275	1.275	1.275	1.275	1.275	1.275	1.275	1.275	1.275	1.275	
1.015	1.015	1.015	1.015	1.015	1.015	1.015	1.015	1.015	1.015	
0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	
0.365	0.365	0.365	0.365	0.365	0.365	0.365	0.365	0.365	0.365	
1.2425	1.2425	1.2425	1.2425	1.2425	1.2425	1.2425	1.2425	1.2425	1.2425	
1.0275	1.0275	1.0275	1.0275	1.0275	1.0275	1.0275	1.0275	1.0275	1.0275	
0.9175	0.9175	0.9175	0.9175	0.9175	0.9175	0.9175	0.9175	0.9175	0.9175	
0.8275	0.8275	0.8275	0.8275	0.8275	0.8275	0.8275	0.8275	0.8275	0.8275	
0.7925	0.7925	0.7925	0.7925	0.7925	0.7925	0.7925	0.7925	0.7925	0.7925	
0.7625	0.7625	0.7625	0.7625	0.7625	0.7625	0.7625	0.7625	0.7625	0.7625	
0.6375	0.6375	0.6375	0.6375	0.6375	0.6375	0.6375	0.6375	0.6375	0.6375	
0.5075	0.5075	0.5075	0.5075	0.5075	0.5075	0.5075	0.5075	0.5075	0.5075	
0.2475	0.2475	0.2475	0.2475	0.2475	0.2475	0.2475	0.2475	0.2475	0.2475	
0.1825	0.1825	0.1825	0.1825	0.1825	0.1825	0.1825	0.1825	0.1825	0.1825	
