5
5
10
12
10
36	36	36	36	36	
4.33	3.11	3.08	2.46	1.75	
20	20	20	20	20	
2	2	2	2	2	
1.6	1.6	1.6	1.6	1.6	
11	11	11	11	11	
126	121	122	50	92	
83	74	135	93	108	
71	101	125	142	130	
131	104	112	109	93	
93	56	97	109	82	
2
2.165	2.165	2.165	2.165	2.165	
1.555	1.555	1.555	1.555	1.555	
1.54	1.54	1.54	1.54	1.54	
1.23	1.23	1.23	1.23	1.23	
0.875	0.875	0.875	0.875	0.875	
1.0825	1.0825	1.0825	1.0825	1.0825	
0.7775	0.7775	0.7775	0.7775	0.7775	
0.77	0.77	0.77	0.77	0.77	
0.615	0.615	0.615	0.615	0.615	
0.4375	0.4375	0.4375	0.4375	0.4375	
