10
5
10
12
10
65	65	65	65	65	
4.9	4.37	3.94	3.48	3.06	3.02	1.97	1.05	0.99	0.75	
20	20	20	20	20	
2	2	2	2	2	
1.6	1.6	1.6	1.6	1.6	
11	11	11	11	11	
143	106	141	101	102	
112	86	126	121	148	
145	113	77	121	60	
59	128	70	90	103	
138	91	112	142	92	
147	147	76	115	79	
51	70	123	117	109	
104	133	80	137	56	
97	75	72	138	124	
128	79	81	81	119	
2
2.45	2.45	2.45	2.45	2.45	
2.185	2.185	2.185	2.185	2.185	
1.97	1.97	1.97	1.97	1.97	
1.74	1.74	1.74	1.74	1.74	
1.53	1.53	1.53	1.53	1.53	
1.51	1.51	1.51	1.51	1.51	
0.985	0.985	0.985	0.985	0.985	
0.525	0.525	0.525	0.525	0.525	
0.495	0.495	0.495	0.495	0.495	
0.375	0.375	0.375	0.375	0.375	
1.225	1.225	1.225	1.225	1.225	
1.0925	1.0925	1.0925	1.0925	1.0925	
0.985	0.985	0.985	0.985	0.985	
0.87	0.87	0.87	0.87	0.87	
0.765	0.765	0.765	0.765	0.765	
0.755	0.755	0.755	0.755	0.755	
0.4925	0.4925	0.4925	0.4925	0.4925	
0.2625	0.2625	0.2625	0.2625	0.2625	
0.2475	0.2475	0.2475	0.2475	0.2475	
0.1875	0.1875	0.1875	0.1875	0.1875	
