5
5
10
12
10
18	18	18	18	18	
2.74	2.32	1.74	1.49	0.66	
20	20	20	20	20	
2	2	2	2	2	
1.6	1.6	1.6	1.6	1.6	
11	11	11	11	11	
142	143	64	147	54	
122	125	133	82	123	
127	60	53	148	134	
145	93	142	130	53	
68	81	53	128	74	
1.5
1.37	1.37	1.37	1.37	1.37	
1.16	1.16	1.16	1.16	1.16	
0.87	0.87	0.87	0.87	0.87	
0.745	0.745	0.745	0.745	0.745	
0.33	0.33	0.33	0.33	0.33	
0.685	0.685	0.685	0.685	0.685	
0.58	0.58	0.58	0.58	0.58	
0.435	0.435	0.435	0.435	0.435	
0.3725	0.3725	0.3725	0.3725	0.3725	
0.165	0.165	0.165	0.165	0.165	
