5
5
10
12
10
28	28	28	28	28	
4.34	4.11	2.23	0.96	0.93	
20	20	20	20	20	
2	2	2	2	2	
1.6	1.6	1.6	1.6	1.6	
11	11	11	11	11	
97	52	75	59	147	
148	120	94	123	53	
86	71	100	70	143	
110	97	144	136	73	
59	60	135	142	86	
2
2.17	2.17	2.17	2.17	2.17	
2.055	2.055	2.055	2.055	2.055	
1.115	1.115	1.115	1.115	1.115	
0.48	0.48	0.48	0.48	0.48	
0.465	0.465	0.465	0.465	0.465	
1.085	1.085	1.085	1.085	1.085	
1.0275	1.0275	1.0275	1.0275	1.0275	
0.5575	0.5575	0.5575	0.5575	0.5575	
0.24	0.24	0.24	0.24	0.24	
0.2325	0.2325	0.2325	0.2325	0.2325	
