5
5
10
12
10
25	25	25	25	25	
4.24	3.91	3.29	1.58	1.49	
20	20	20	20	20	
2	2	2	2	2	
1.6	1.6	1.6	1.6	1.6	
11	11	11	11	11	
69	56	137	91	74	
74	69	104	60	148	
65	110	111	78	91	
60	106	57	145	56	
127	121	129	53	92	
1.5
2.12	2.12	2.12	2.12	2.12	
1.955	1.955	1.955	1.955	1.955	
1.645	1.645	1.645	1.645	1.645	
0.79	0.79	0.79	0.79	0.79	
0.745	0.745	0.745	0.745	0.745	
1.06	1.06	1.06	1.06	1.06	
0.9775	0.9775	0.9775	0.9775	0.9775	
0.8225	0.8225	0.8225	0.8225	0.8225	
0.395	0.395	0.395	0.395	0.395	
0.3725	0.3725	0.3725	0.3725	0.3725	
