10
10
10
12
10
25	25	25	25	25	25	25	25	25	25	
2.77	1.67	1.62	1.51	1.42	1.31	1.25	1.02	0.97	0.9	
20	20	20	20	20	20	20	20	20	20	
2	2	2	2	2	2	2	2	2	2	
1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	
11	11	11	11	11	11	11	11	11	11	
91	64	138	78	139	66	74	126	111	86	
72	119	56	63	75	116	73	83	116	92	
118	59	149	145	62	115	136	120	143	71	
99	70	95	77	98	72	88	120	107	63	
139	124	130	116	98	130	122	114	71	87	
54	147	144	76	55	88	101	116	69	135	
63	106	136	55	58	56	53	75	81	117	
101	74	92	114	61	127	114	139	98	79	
132	56	83	95	121	60	141	88	112	109	
147	60	96	145	138	51	146	114	58	74	
1.5
1.385	1.385	1.385	1.385	1.385	1.385	1.385	1.385	1.385	1.385	
0.835	0.835	0.835	0.835	0.835	0.835	0.835	0.835	0.835	0.835	
0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	
0.755	0.755	0.755	0.755	0.755	0.755	0.755	0.755	0.755	0.755	
0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	
0.655	0.655	0.655	0.655	0.655	0.655	0.655	0.655	0.655	0.655	
0.625	0.625	0.625	0.625	0.625	0.625	0.625	0.625	0.625	0.625	
0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	
0.485	0.485	0.485	0.485	0.485	0.485	0.485	0.485	0.485	0.485	
0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	0.45	
0.6925	0.6925	0.6925	0.6925	0.6925	0.6925	0.6925	0.6925	0.6925	0.6925	
0.4175	0.4175	0.4175	0.4175	0.4175	0.4175	0.4175	0.4175	0.4175	0.4175	
0.405	0.405	0.405	0.405	0.405	0.405	0.405	0.405	0.405	0.405	
0.3775	0.3775	0.3775	0.3775	0.3775	0.3775	0.3775	0.3775	0.3775	0.3775	
0.355	0.355	0.355	0.355	0.355	0.355	0.355	0.355	0.355	0.355	
0.3275	0.3275	0.3275	0.3275	0.3275	0.3275	0.3275	0.3275	0.3275	0.3275	
0.3125	0.3125	0.3125	0.3125	0.3125	0.3125	0.3125	0.3125	0.3125	0.3125	
0.255	0.255	0.255	0.255	0.255	0.255	0.255	0.255	0.255	0.255	
0.2425	0.2425	0.2425	0.2425	0.2425	0.2425	0.2425	0.2425	0.2425	0.2425	
0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	
