5
10
10
12
10
19	19	19	19	19	19	19	19	19	19	
3.04	1.61	1.29	1	0.83	
20	20	20	20	20	20	20	20	20	20	
2	2	2	2	2	2	2	2	2	2	
1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	
11	11	11	11	11	11	11	11	11	11	
107	142	105	105	136	61	113	67	112	93	
99	63	97	95	96	144	121	60	129	116	
75	144	86	116	78	54	132	70	134	64	
65	69	117	75	125	139	140	122	87	96	
57	132	120	102	71	144	79	59	60	72	
2
1.52	1.52	1.52	1.52	1.52	1.52	1.52	1.52	1.52	1.52	
0.805	0.805	0.805	0.805	0.805	0.805	0.805	0.805	0.805	0.805	
0.645	0.645	0.645	0.645	0.645	0.645	0.645	0.645	0.645	0.645	
0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	
0.415	0.415	0.415	0.415	0.415	0.415	0.415	0.415	0.415	0.415	
0.76	0.76	0.76	0.76	0.76	0.76	0.76	0.76	0.76	0.76	
0.4025	0.4025	0.4025	0.4025	0.4025	0.4025	0.4025	0.4025	0.4025	0.4025	
0.3225	0.3225	0.3225	0.3225	0.3225	0.3225	0.3225	0.3225	0.3225	0.3225	
0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	
0.2075	0.2075	0.2075	0.2075	0.2075	0.2075	0.2075	0.2075	0.2075	0.2075	
