5
5
10
12
10
15	15	15	15	15	
2.2	2.01	1.83	1.39	1.09	
20	20	20	20	20	
2	2	2	2	2	
1.6	1.6	1.6	1.6	1.6	
11	11	11	11	11	
141	103	88	57	83	
92	90	82	106	105	
131	91	118	99	68	
106	142	61	148	118	
67	124	64	50	72	
1.5
1.1	1.1	1.1	1.1	1.1	
1.005	1.005	1.005	1.005	1.005	
0.915	0.915	0.915	0.915	0.915	
0.695	0.695	0.695	0.695	0.695	
0.545	0.545	0.545	0.545	0.545	
0.55	0.55	0.55	0.55	0.55	
0.5025	0.5025	0.5025	0.5025	0.5025	
0.4575	0.4575	0.4575	0.4575	0.4575	
0.3475	0.3475	0.3475	0.3475	0.3475	
0.2725	0.2725	0.2725	0.2725	0.2725	
