5
10
10
12
10
41	41	41	41	41	41	41	41	41	41	
4.95	4.14	3.18	2.67	1.74	
20	20	20	20	20	20	20	20	20	20	
2	2	2	2	2	2	2	2	2	2	
1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	
11	11	11	11	11	11	11	11	11	11	
79	146	67	105	63	88	62	145	118	56	
79	101	107	104	144	94	98	74	138	131	
143	105	81	127	84	92	78	117	144	120	
141	70	90	109	93	91	139	112	69	92	
119	96	88	52	121	135	123	69	124	62	
2
2.475	2.475	2.475	2.475	2.475	2.475	2.475	2.475	2.475	2.475	
2.07	2.07	2.07	2.07	2.07	2.07	2.07	2.07	2.07	2.07	
1.59	1.59	1.59	1.59	1.59	1.59	1.59	1.59	1.59	1.59	
1.335	1.335	1.335	1.335	1.335	1.335	1.335	1.335	1.335	1.335	
0.87	0.87	0.87	0.87	0.87	0.87	0.87	0.87	0.87	0.87	
1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	1.2375	
1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	
0.795	0.795	0.795	0.795	0.795	0.795	0.795	0.795	0.795	0.795	
0.6675	0.6675	0.6675	0.6675	0.6675	0.6675	0.6675	0.6675	0.6675	0.6675	
0.435	0.435	0.435	0.435	0.435	0.435	0.435	0.435	0.435	0.435	
